Rank,Country (or dependent territory),Population,% of worldpopulation,Date,Source
1,China,1401943040,,27 Mar 2020,National population clock[3]
2,India,1360295454,,27 Mar 2020,National population clock[4]
3,United States,329522193,,27 Mar 2020,National population clock[5]
4,Indonesia,266911900,,1 Jul 2019,National annual projection[6]
5,Pakistan,219082520,,27 Mar 2020,2017 census[7]
6,Brazil,211310235,,27 Mar 2020,National population clock[8]
7,Nigeria,206139587,,1 Jul 2020,UN projection[2]
8,Bangladesh,168338164,,27 Mar 2020,National population clock[9]
9,Russia,146745098,,1 Jan 2020,National estimate[10]
10,Mexico,126577691,,1 Jul 2019,National annual projection[11]
11,Japan,125950000,,1 Mar 2020,Monthly provisional estimate[12]
12,Philippines,108460077,,27 Mar 2020,National population clock[13]
13,Egypt,100173082,,27 Mar 2020,National population clock[14]
14,Ethiopia,98665000,,1 Jul 2019,National annual projection[15]
15,Vietnam,96208984,,1 Apr 2019,Preliminary 2019 census result[16]
16,DR Congo,89561404,,1 Jul 2020,UN projection[2]
17,Iran,83314694,,27 Mar 2020,National population clock[17]
18,Turkey,83154997,,31 Dec 2019,National annual estimate[18]
19,Germany,83149300,,30 Sep 2019,National estimate[19]
20,France,67069000,,1 Feb 2020,Monthly national estimate[20]
21,Thailand,66486280,,27 Mar 2020,National population clock[21]
22,United Kingdom,66435600,,30 Jun 2018,National annual estimate[22]
,Britain,63790000,,,Google search lol
23,Italy,60243406,,31 Oct 2019,Monthly national estimate[23]
24,South Africa,58775022,,1 Jul 2019,National annual estimate[24]
25,Tanzania,55890747,,1 Jul 2019,National annual projection[25]
26,Myanmar,54339766,,1 Jul 2019,National annual projection[26]
27,South Korea,51780579,,1 Jul 2020,National annual projection[27]
28,Colombia,49395678,,30 Jun 2019,National annual projection[28]
29,Kenya,47564296,,31 Aug 2019,2019 census result[29]
30,Spain,47100396,,1 Jul 2019,National estimate[30]
31,Argentina,44938712,,1 Jul 2019,National annual projection[31]
32,Algeria,43000000,,1 Jan 2019,National annual projection[32]
33,Sudan,42377330,,27 Mar 2020,National population clock[33]
34,Ukraine,41879904,,1 Feb 2020,Monthly national estimate[34]
35,Uganda,40299300,,1 Jul 2019,National annual projection[35]
36,Iraq,39127900,,1 Jul 2019,National annual projection[36]
37,Poland,38386000,,30 Jun 2019,National estimate[37]
38,Canada,37972075,,27 Mar 2020,National population clock[38]
39,Morocco,35850917,,27 Mar 2020,National population clock[39]
40,Saudi Arabia,34218169,,1 Jul 2019,National estimate
41,Uzbekistan,34092584,,27 Mar 2020,National population clock[40]
42,Malaysia,32731760,,27 Mar 2020,National population clock[41]
43,Afghanistan,32225560,,1 Jul 2019,National annual estimate[42]
44,Venezuela,32219521,,30 Jun 2019,National annual projection
45,Peru,32131400,,30 Jun 2019,National annual projection[43]
46,Angola,31127674,,2020,National projection[44]
47,Ghana,30280811,,1 Jul 2019,National projection[45]
48,Mozambique,30066648,,2020,National projection[46]
49,Nepal,29996478,,1 Jul 2020,National annual projection[47]
50,Yemen,29825968,,1 Jul 2020,UN projection[2]
51,Cameroon,26545864,,1 Jul 2020,UN projection[2]
52,Ivory Coast,25823071,,1 Jul 2019,National projection[48]
53,Madagascar,25680342,,18 May 2018,Provisional 2018 census result[49]
54,Australia,25659166,,27 Mar 2020,National population clock[50]
55,North Korea,25450000,,1 Jul 2019,National annual projection[51]
–,Taiwan,23604265,,31 Jan 2020,Monthly national estimate[52]
56,Niger,22314743,,1 Jul 2019,National annual projection[53]
57,Sri Lanka,21803000,,1 Jul 2019,National estimate[54]
58,Burkina Faso,20870060,,1 Jul 2019,National annual projection[55]
59,Mali,19973000,,1 Jul 2019,National annual projection[56]
60,Romania,19405156,,1 Jan 2019,National annual estimate[57]
61,Malawi,19129952,,1 Jul 2020,UN projection[58]
62,Chile,19107216,,1 Jul 2019,National annual projection[59]
63,Kazakhstan,18670776,,27 Mar 2020,National population clock[60]
64,Syria,17500657,,1 Jul 2020,UN projection[2]
65,Ecuador,17452668,,27 Mar 2020,National population clock[61]
66,Netherlands,17448931,,27 Mar 2020,National population clock[62]
67,Zambia,17381168,,1 Jul 2019,National annual projection[63]
68,Guatemala,16604026,,1 Jul 2019,National annual projection[64]
