country,countryIso,updated,confirmed,deaths,recovered,date,source
Afghanistan,AFG,2020-02-29T05:00:00.000Z,1,0,,2020-02-29,jhu
Angola,AGO,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Albania,ALB,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Andorra,AND,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
UAE,ARE,2020-02-29T05:00:00.000Z,21,0,,2020-02-29,jhu
Argentina,ARG,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Armenia,ARM,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Antigua and Barbuda,ATG,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Australia,AUS,2020-02-29T05:00:00.000Z,25,0,,2020-02-29,jhu
Austria,AUT,2020-02-29T05:00:00.000Z,9,0,,2020-02-29,jhu
Azerbaijan,AZE,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Burundi,BDI,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Belgium,BEL,2020-02-29T05:00:00.000Z,1,0,,2020-02-29,jhu
Benin,BEN,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Burkina Faso,BFA,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Bangladesh,BGD,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Bulgaria,BGR,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Bahrain,BHR,2020-02-29T05:00:00.000Z,41,0,,2020-02-29,jhu
The Bahamas,BHS,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Bosnia,BIH,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Belarus,BLR,2020-02-29T05:00:00.000Z,1,0,,2020-02-29,jhu
Belize,BLZ,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Bolivia,BOL,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Brazil,BRA,2020-02-29T05:00:00.000Z,2,0,,2020-02-29,jhu
Barbados,BRB,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Brunei,BRN,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Bhutan,BTN,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Botswana,BWA,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Central African Rep.,CAF,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Canada,CAN,2020-02-29T05:00:00.000Z,20,0,,2020-02-29,jhu
Switzerland,CHE,2020-02-29T05:00:00.000Z,18,0,,2020-02-29,jhu
Chile,CHL,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
China,CHN,2020-02-29T05:00:00.000Z,79356,2837,,2020-02-29,jhu
Ivory Coast,CIV,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Cameroon,CMR,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Dem. Rep. Congo,COD,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Congo,COG,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Colombia,COL,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Cape Verde,CPV,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Costa Rica,CRI,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Cuba,CUB,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Cyprus,CYP,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Czechia,CZE,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Germany,DEU,2020-02-29T05:00:00.000Z,79,0,,2020-02-29,jhu
Djibouti,DJI,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Dominica,DMA,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Denmark,DNK,2020-02-29T05:00:00.000Z,3,0,,2020-02-29,jhu
Dominican Republic,DOM,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Algeria,DZA,2020-02-29T05:00:00.000Z,1,0,,2020-02-29,jhu
,,2020-02-29T00:00:00.000Z,705,6,,2020-02-29,jhu
Ecuador,ECU,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Egypt,EGY,2020-02-29T05:00:00.000Z,1,0,,2020-02-29,jhu
Eritrea,ERI,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
W. Sahara,ESH,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Spain,ESP,2020-02-29T05:00:00.000Z,45,0,,2020-02-29,jhu
Estonia,EST,2020-02-29T05:00:00.000Z,1,0,,2020-02-29,jhu
Ethiopia,ETH,2020-02-29T05:00:00.000Z,0,0,,2020-02-29,jhu
Finland,FIN,2020-02-29T05:00:00.000Z,3,0,,2020-02-29,jhu
