date,state,positive,negative,pending,currentlyHospitalized,cumulativeHospitalized,currentlyInIcu,cumulativeInIcu,currentlyOnVentilator,cumulativeOnVentilator,recovered,death,hash,dateChecked,totalTestResults,total,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200330,AK,114,3540,,,7,,,,,,3,87f23e80d6327f0690a943b5efc2109424bbd0d2,2020-03-30T20:00:00Z,3654,3654,02,1,0,308,12,320
20200330,AL,859,5694,,,,,,,,,6,b0a6adc0a6a15751d87553e8ba6abe91bbc09794,2020-03-30T20:00:00Z,6553,6553,01,2,0,1510,53,1563
20200330,AR,473,5262,,62,62,,,21,21,29,7,99a3427c0c82a1dec2bb0c7735154f1ac1c4029a,2020-03-30T20:00:00Z,5735,5735,05,1,0,2235,47,2282
20200330,AS,,,,,,,,,,,0,4ead473697fb6e91e3f3cfed93ae64616058baf7,2020-03-30T20:00:00Z,0,0,60,0,0,0,0,0
20200330,AZ,1157,15602,,,78,,30,,,,20,43aedfa8cac9ee36840ce557e11123764c54cb96,2020-03-30T20:00:00Z,16759,16759,04,3,0,2649,238,2887
20200330,CA,6447,20549,64400,1432,1432,597,597,,,,133,6e39cd3cfd5db137dd5e4485c4d8e09e9363674f,2020-03-30T20:00:00Z,26996,91396,06,10,0,0,739,739
20200330,CO,2627,12737,,,414,,,,,,51,693620c6131133d4b75705de627337c766b0f477,2020-03-30T20:00:00Z,15364,15364,08,7,0,1522,566,2088
20200330,CT,2571,12029,,517,517,,,,,,36,4c4c01ae75030ed8b1d24dd4cbb1ef5912e427fd,2020-03-30T20:00:00Z,14600,14600,09,2,0,2122,578,2700
20200330,DC,401,2682,2,,,,,193,193,106,9,4a556a5efb9b1ecfcfc27f9563d045e18e86a9f4,2020-03-30T20:00:00Z,3083,3085,11,4,0,213,59,272
20200330,DE,264,2216,,,45,,,,,9,6,9c021c109185c50f1878d5ed48abd02f977ab03e,2020-03-30T20:00:00Z,2480,2480,10,0,0,2180,32,2212
20200330,FL,5473,48225,,,652,,,,,,63,08365c684e72247440ea942a97cfa20d4e68bc0f,2020-03-30T20:00:00Z,53698,53698,12,7,0,9155,1227,10382
20200330,GA,2809,9915,,,707,,,,,,87,b7fe8d79d9b1680b355469a85f202e3acd84f529,2020-03-30T20:00:00Z,12724,12724,13,7,0,2,158,160
20200330,GU,58,352,,,19,,2,,,7,1,fa935c127880480804862154c5767cec9ca66203,2020-03-30T20:00:00Z,410,410,66,0,0,18,2,20
20200330,HI,175,7825,13,,12,,,,,,0,b53bbbc5707865e9f3c750180e3553e924a28176,2020-03-30T20:00:00Z,8000,8013,15,0,0,976,24,1000
20200330,IA,424,6162,,51,74,,,,,23,6,7d6bf139fbcb3527b164fe763336097761f1424c,2020-03-30T20:00:00Z,6586,6586,19,2,0,1149,88,1237
20200330,ID,310,4396,,,39,,,,,,6,107baea246e54808d73ff442547fbfe8232191cd,2020-03-30T20:00:00Z,4706,4706,16,1,0,375,49,424
20200330,IL,5057,25389,,,,,,,,,73,c0e56035650c970d9071055dd1fdafddb52392b1,2020-03-30T20:00:00Z,30446,30446,17,8,0,2223,461,2684
